,,,,,effect_difference_mse,effect_difference_mse,effect_difference_mse,effect_difference_pearson,effect_difference_pearson,effect_difference_pearson
,,,,,mean,count,<lambda_0>,mean,count,<lambda_0>
state,export,method,anchor_a,anchor_b,,,,,,
B-joint,external,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-joint,external,no_change,ACH-000739,ACH-000995,12.90320058994823,234,0,,0,234
B-joint,external,no_change,ACH-000971,ACH-000995,4.607949663691806,217,0,,0,217
B-joint,external,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-joint,external,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-joint,external,perturbation_mean,ACH-000551,ACH-000995,3.4507338167413284,228,0,0.011750555406475734,208,20
B-joint,external,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-joint,external,perturbation_mean,ACH-000739,ACH-000995,12.903200630194101,234,0,0.043234673258561014,132,102
B-joint,external,perturbation_mean,ACH-000971,ACH-000995,4.607949641580406,217,0,0.003048345780933493,189,28
B-joint,internal,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-joint,internal,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-joint,internal,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-joint,internal,model,ACH-000551,ACH-000739,61.31697055271694,28,0,-0.1438875519864898,28,0
B-joint,internal,model,ACH-000551,ACH-000971,70.09383932434686,101,0,0.28643945651930675,101,0
B-joint,internal,model,ACH-000739,ACH-000971,156.9076312383016,24,0,-0.19726428598922788,24,0
B-joint,internal,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-joint,internal,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-joint,internal,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-joint,internal,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-joint,internal,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-joint,internal,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-unfreeze,external,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-unfreeze,external,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-unfreeze,external,global_mean,ACH-000551,ACH-000995,3.4507336964209876,228,0,0.029472701675743732,228,0
B-unfreeze,external,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-unfreeze,external,global_mean,ACH-000739,ACH-000995,12.903200767233841,234,0,0.011558825657988837,234,0
B-unfreeze,external,global_mean,ACH-000971,ACH-000995,4.607950069250599,217,0,-0.1453175593028693,217,0
B-unfreeze,external,model,ACH-000551,ACH-000739,9.74219189797129,28,0,0.15697389656624106,28,0
B-unfreeze,external,model,ACH-000551,ACH-000971,3.667378340617265,101,0,0.35684988785920624,101,0
B-unfreeze,external,model,ACH-000551,ACH-000995,28.037440605330886,228,0,0.19658320608072782,228,0
B-unfreeze,external,model,ACH-000739,ACH-000971,14.222889507810274,24,0,0.273931053403985,24,0
B-unfreeze,external,model,ACH-000739,ACH-000995,32.270211953383225,234,0,0.2948771807111697,234,0
B-unfreeze,external,model,ACH-000971,ACH-000995,24.74734227228824,217,0,0.25618530270918405,217,0
B-unfreeze,external,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-unfreeze,external,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-unfreeze,external,no_change,ACH-000551,ACH-000995,3.450733853471384,228,0,,0,228
B-unfreeze,external,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
