state,export,role,panel,method,mean_delta_mse,energy_distance,response_loss,without_own_response_loss,identity_advantage,output_change_mse
B-continue,internal,val,seen,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-continue,internal,val,unseen,global_mean,7.532479180755867,28.36997667003747,35.90245557137101,35.90214720794425,,
B-continue,internal,val,unseen,model,8.425584701875103,32.01617096225109,40.441755288393956,40.441491789351154,0.3067616822150581,0.03813774140725452
B-continue,internal,val,unseen,no_change,7.726731053203646,28.79131102750973,36.51804270897088,36.5176776576491,,
B-init,external,external,all,global_mean,4.233731171800326,27.863338048386886,32.097069200468404,32.048893969150264,,
B-init,external,external,all,model,57.41222295211452,422.35612266967416,479.7683459880927,479.7727295422584,-0.0029736741530987736,0.03265746417855629
B-init,external,external,all,no_change,4.533118653454774,29.775339013445915,34.3084577028622,34.2586917691638,,
B-init,external,external,all,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-init,external,external,native_all,global_mean,4.159581395172996,28.501102574729636,32.6606839751058,32.610438317312656,,
B-init,external,external,native_all,model,56.068084429128064,417.44227708709246,473.51036181148453,473.51610658986465,-0.0010612856160945262,0.03208762453886079
B-init,external,external,native_all,no_change,4.491814679852346,30.64079322644049,35.13260792724643,35.08057035635573,,
B-init,external,external,native_all,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-init,external,external,native_common,global_mean,4.161620705654976,28.513336151214325,32.674956861307706,32.62463606045705,,
B-init,external,external,native_common,model,56.06467466363878,417.3850599842319,473.44973492455983,473.4554882943333,-0.0009804738007651703,0.03244601113745
B-init,external,external,native_common,no_change,4.493920292887291,30.652925744251622,35.1468460582427,35.094730664464315,,
B-init,external,external,native_common,perturbation_mean,4.589835145195959,34.303251253167986,38.8930863203817,38.881726586212544,,
B-init,external,external,seen,global_mean,4.237102380076567,27.882839397393447,32.11994175703979,32.071685320106276,,
B-init,external,external,seen,model,57.404458959847126,422.29327103863574,479.697730352544,479.70212129576015,-0.0049076136586235775,0.03270483600445916
B-init,external,external,seen,no_change,4.5365856779378975,29.79516566196575,34.33175137602625,34.28190155537682,,
B-init,external,external,seen,perturbation_mean,4.733406054768892,34.42920393527835,39.16260989728077,39.1468713563854,,
B-init,external,external,unseen,global_mean,2.2337618619203568,16.29416275024414,18.52792501449585,18.52792501449585,,
B-init,external,external,unseen,model,62.018211364746094,459.6428527832031,521.6610717773438,521.6610717773438,0.014176177978512783,0.03498070689383895
B-init,external,external,unseen,no_change,2.4763063788414,18.013179779052734,20.48948609828949,20.48948609828949,,
B-init,external,val,all,global_mean,4.747498432803437,20.27004016061204,25.01753860605073,24.991051109417253,,
B-init,external,val,all,model,162.27949733269077,738.3330848952988,900.6125826384991,900.625364882529,-0.004951577867976447,0.02689255362065285
B-init,external,val,all,no_change,4.877595749017426,20.475006116899213,25.35260181546128,25.32582519822338,,
B-init,external,val,all,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-init,external,val,native_all,global_mean,6.070032047230181,26.391119169161993,32.46115126473699,32.43002077389663,,
B-init,external,val,native_all,model,158.9205844044619,720.2474077803141,879.1679927359719,879.1839831457173,-0.012735793559984478,0.030233115881137015
B-init,external,val,native_all,no_change,6.347072728181362,27.364456687918732,33.711529335853925,33.67961249508778,,
B-init,external,val,native_all,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-init,external,val,native_common,global_mean,6.0193024938351,26.27548722213913,32.29478976920751,32.26318116101522,,
B-init,external,val,native_common,model,158.73407007019117,720.038354092249,878.7724245211708,878.7886625199195,-0.012182257607356464,0.02963848398893884
B-init,external,val,native_common,no_change,6.293661360476037,27.237443619138734,33.53110489231618,33.498697874366776,,
B-init,external,val,native_common,perturbation_mean,10.039035693736954,43.428144303130715,53.46717993521998,53.45799495699041,,
B-init,external,val,seen,global_mean,4.7603540020359025,20.510574426231344,25.270928454076326,25.24242623679613,,
B-init,external,val,seen,model,161.61842802215324,736.4659034580486,898.0843316482857,898.0987885821941,-0.00516939388237777,0.026825831688002674
B-init,external,val,seen,no_change,4.899823893799088,20.769979508824175,25.66980334117132,25.64101523527945,,
B-init,external,val,seen,perturbation_mean,7.1876357183533015,30.89102885872234,38.07866449624997,38.07290553769,,
B-init,external,val,unseen,global_mean,7.532479180755867,28.36997667003747,35.90245557137101,35.90214720794425,,
B-init,external,val,unseen,model,172.6514979241847,758.7485370632227,931.4000441274669,931.4047477105315,-0.004384731503796666,0.027667073029293818
B-init,external,val,unseen,no_change,7.726731053203646,28.79131102750973,36.51804270897088,36.5176776576491,,
B-init,internal,train,all,global_mean,4.7821756688303445,21.462898862793285,26.245074522533013,26.213282609438906,,
B-init,internal,train,all,model,157.87250903176997,732.9228000186695,890.7953092265512,890.8084521887295,,
B-init,internal,train,all,no_change,4.916012202918124,21.727943184290165,26.64395539941334,26.61177254528374,,
B-init,internal,train,all,perturbation_mean,1.8745978493928293,13.445245789727304,15.319843633887993,15.314952210721614,,
B-init,internal,train,native_all,global_mean,6.598906102649646,29.44225125287439,36.04115734107547,35.98169327677518,,
B-init,internal,train,native_all,model,155.62974276920679,717.996475040707,873.626217794916,873.6382502830699,,
B-init,internal,train,native_all,no_change,6.891598627706891,30.529043171614877,37.4206418392367,37.35971229147134,,
B-init,internal,train,native_all,perturbation_mean,3.193752260856875,21.014993349999695,24.208745603123322,24.197986135465925,,
B-init,internal,train,native_common,global_mean,6.598906102649646,29.44225125287439,36.04115734107547,35.98169327677518,,
B-init,internal,train,native_common,model,155.62974276920679,717.996475040707,873.626217794916,873.6382502830699,,
B-init,internal,train,native_common,no_change,6.891598627706891,30.529043171614877,37.4206418392367,37.35971229147134,,
B-init,internal,train,native_common,perturbation_mean,3.193752260856875,21.014993349999695,24.208745603123322,24.197986135465925,,
B-init,internal,train,seen,global_mean,4.7821756688303445,21.462898862793285,26.245074522533013,26.213282609438906,,
B-init,internal,train,seen,model,157.87250903176997,732.9228000186695,890.7953092265512,890.8084521887295,,
B-init,internal,train,seen,no_change,4.916012202918124,21.727943184290165,26.64395539941334,26.61177254528374,,
B-init,internal,train,seen,perturbation_mean,1.8745978493928293,13.445245789727304,15.319843633887993,15.314952210721614,,
B-init,internal,val,all,global_mean,4.747498432803437,20.27004016061204,25.01753860605073,24.991051109417253,,
