export,role,model_id,panel,state,metric,contrast,pairs,undefined,unmatched_left,unmatched_right,delta,relative_improvement_pct,ci_low,ci_high
external,external,ACH-000995,seen,B-joint,energy_distance,wrong_minus_correct,2373,0,0,0,0.051219118731563325,,0.041573195764900844,0.06257981877059705
external,external,ACH-000995,seen,B-joint,without_own_response_loss,wrong_minus_correct,2373,0,0,0,0.05838684808640218,,0.04779932088003918,0.07041277298282247
external,external,ACH-000995,seen,B-unfreeze,response_loss,wrong_minus_correct,2373,0,0,0,0.7890803543264433,,0.6108780749498216,0.983607283639245
external,external,ACH-000995,seen,B-unfreeze,mean_delta_mse,wrong_minus_correct,2373,0,0,0,0.12640706631788667,,0.09630718479365478,0.15773318140756923
external,external,ACH-000995,seen,B-unfreeze,energy_distance,wrong_minus_correct,2373,0,0,0,0.662673085337694,,0.5104355195017743,0.8271442849938498
external,external,ACH-000995,seen,B-unfreeze,without_own_response_loss,wrong_minus_correct,2373,0,0,0,0.7894142379149875,,0.6112907715181332,0.9839459203196836
external,external,ACH-000995,unseen,B-continue,response_loss,wrong_minus_correct,4,0,0,0,0.0032192230224623586,,-0.6078933715820369,1.055143356323235
external,external,ACH-000995,unseen,B-continue,mean_delta_mse,wrong_minus_correct,4,0,0,0,0.009173727035522994,,-0.07332701683044363,0.16598796844482333
external,external,ACH-000995,unseen,B-continue,energy_distance,wrong_minus_correct,4,0,0,0,-0.005956268310548296,,-0.5361495971679631,0.8891540527343693
external,external,ACH-000995,unseen,B-continue,without_own_response_loss,wrong_minus_correct,4,0,0,0,0.0032192230224623586,,-0.6078933715820369,1.055143356323235
external,external,ACH-000995,unseen,B-init,response_loss,wrong_minus_correct,4,0,0,0,0.014176177978512783,,-0.42111892700195597,0.37531280517578125
external,external,ACH-000995,unseen,B-init,mean_delta_mse,wrong_minus_correct,4,0,0,0,0.009974765777586825,,-0.055221557617185724,0.06937084197997656
external,external,ACH-000995,unseen,B-init,energy_distance,wrong_minus_correct,4,0,0,0,0.004205322265605105,,-0.360108947753929,0.3059570312499602
external,external,ACH-000995,unseen,B-init,without_own_response_loss,wrong_minus_correct,4,0,0,0,0.014176177978512783,,-0.42111892700195597,0.37531280517578125
external,external,ACH-000995,unseen,B-interface,response_loss,wrong_minus_correct,4,0,0,0,-0.029221153259278765,,-0.19293193817138388,0.1766025543212848
external,external,ACH-000995,unseen,B-interface,mean_delta_mse,wrong_minus_correct,4,0,0,0,-0.0013476610183720261,,-0.029339718818664817,0.030901384353636985
external,external,ACH-000995,unseen,B-interface,energy_distance,wrong_minus_correct,4,0,0,0,-0.027873229980471592,,-0.1635894775390625,0.14570007324218182
external,external,ACH-000995,unseen,B-interface,without_own_response_loss,wrong_minus_correct,4,0,0,0,-0.029221153259278765,,-0.19293193817138388,0.1766025543212848
