arm,step,epoch,mean_delta_mse,energy_distance,response_loss
B-continue,3598,14,5.811233391168045,26.334360511183675,32.14559383027402
B-continue,3855,15,5.779107309489768,26.28607258228949,32.06517993513876
B-continue,4112,16,5.794759118695868,26.246905813572358,32.04166496372256
B-continue,4369,17,5.78086612201833,26.207390285244745,31.988256359723167
B-continue,4626,18,5.781030139538632,26.15228784497155,31.933318079603207
B-continue,4883,19,5.778950262598919,26.120728269267318,31.899678591212112
B-continue,5140,20,5.7462581673694375,26.06002497834398,31.80628315542307
B-continue,5397,21,5.757249758550709,26.02014132922641,31.777391069737153
B-continue,5654,22,5.751243415557762,25.99116616256651,31.74240952554643
B-continue,5911,23,5.739398745749946,25.943410235163558,31.682808882851944
B-continue,6168,24,5.736710402419425,25.909466365880053,31.64617679299928
B-continue,6425,25,5.7115907933627135,25.858087449922127,31.569678209222264
B-continue,6682,26,5.705102589287985,25.81735222034445,31.522454808059113
B-continue,6939,27,5.737748261288808,25.820469844182906,31.558218100624657
B-continue,7196,28,5.723681108327053,25.77566993396707,31.499351043687728
B-continue,7453,29,5.7484796555027,25.782748150559016,31.53122780198214
B-continue,7710,30,5.69093979053932,25.682983770344908,31.373923545760885
B-continue,7967,31,5.722422720615505,25.67261571449653,31.395038403080097
B-continue,8224,32,5.687672091645709,25.619589381509645,31.307261412478862
B-continue,8481,33,5.6813974411711134,25.595782870159095,31.277180296693672
B-continue,8738,34,5.691340548439954,25.585073537464158,31.276414013527447
B-continue,8995,35,5.680380875727312,25.559728436488886,31.240109320522027
B-continue,9252,36,5.67695900576983,25.525394445765837,31.202353406967152
B-continue,9509,37,5.679522255102225,25.49099522163455,31.170517557037684
B-continue,9766,38,5.684875507596484,25.484544846019276,31.169420232710085
B-continue,10023,39,5.6798005326984695,25.457569860612775,31.137370384014634
B-continue,10280,40,5.654890028017326,25.40351924791133,31.058409272053694
B-continue,10537,41,5.674008511723632,25.397859103352015,31.07186758037417
