job_key,evaluation_scope,fold,feature_set,model,weighting,rank,perturbation_gene,y_true,y_pred,predicted_dependency_score,observed_n_cells,target_gene_index,top_k
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,1,RPL31,-2.3567116260528564,-2.2540265738658176,2.2540265738658176,294,1177,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,2,RPL27,-1.5726183652877808,-2.101937386970654,2.101937386970654,38,6784,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,3,RPL14,-2.448538303375244,-2.1001118397051544,2.1001118397051544,220,1573,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,4,RPS18,-2.1017556190490723,-2.0710610987818976,2.0710610987818976,122,2815,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,5,GINS4,-0.8891941905021667,-2.0338429503168016,2.0338429503168016,60,3607,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,6,RPL7,-1.9913469552993774,-2.0080176201824322,2.0080176201824322,301,3661,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,7,RPS4X,-2.958712100982666,-1.9905777834387015,1.9905777834387015,180,8412,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,8,RPL4,-3.289290189743042,-1.9790415992647612,1.9790415992647612,345,5986,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,9,SNRPE,-1.75413179397583,-1.9488012301026925,1.9488012301026925,184,751,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,10,SF3B5,-2.711693286895752,-1.9031633592744681,1.9031633592744681,84,3065,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,11,RPS9,-2.9898555278778076,-1.8709256907224097,1.8709256907224097,276,7694,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,12,RPL11,-2.8036398887634277,-1.8665860881349245,1.8665860881349245,387,120,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,13,RRM1,-3.7872400283813477,-1.807648717180202,1.807648717180202,103,4482,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,14,MCM10,-0.37913283705711365,-1.7356004145733528,1.7356004145733528,219,4164,20
internal_cv_all|2|delta_all|pca100_random_forest|unweighted,internal_cv_all,2,delta_all,pca100_random_forest,unweighted,15,PPP1R10,-1.4994345903396606,-1.729501646343601,1.729501646343601,7,2758,20
