job_key,evaluation_scope,fold,feature_set,model,weighting,fit_seconds,spearman,spearman_defined,pearson,pearson_defined,rmse,mae,r2,auroc_lt_neg0p5,auprc_lt_neg0p5,top5pct_enrichment_lt_neg0p5,auroc_lt_neg1p0,auprc_lt_neg1p0,top5pct_enrichment_lt_neg1p0,checkpoint_path,n_train,n_test
internal_cv_target_index_valid|2|delta_mask_target|pca50_ridge|unweighted,internal_cv_target_index_valid,2,delta_mask_target,pca50_ridge,unweighted,2.3644464839999273,0.5227944002415019,True,0.542094441698022,True,0.6010667436157171,0.45918190022642735,0.2821570719957004,0.7461050724637681,0.8976777901794246,1.218196457326892,0.7585480317977205,0.708127698591779,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_mask_target__pca50_ridge__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_mask_target|random_forest|unweighted,internal_cv_target_index_valid,2,delta_mask_target,random_forest,unweighted,114.2017910960003,0.47400995530353307,True,0.49873608091985827,True,0.6180124416274833,0.46848286167643827,0.24111064055242748,0.7039855072463769,0.8736659463996223,1.218196457326892,0.7481403441560515,0.6893389976125315,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_mask_target__random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_mask_target|pca20_random_forest|unweighted,internal_cv_target_index_valid,2,delta_mask_target,pca20_random_forest,unweighted,2.2122220460005337,0.5310472218638999,True,0.5551671999793875,True,0.5915477653195313,0.44765068431580235,0.30471371427117655,0.7363677536231884,0.8925778446655142,1.289855072463768,0.7767455224595347,0.7107651744583652,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_mask_target__pca20_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_mask_target|pca50_random_forest|unweighted,internal_cv_target_index_valid,2,delta_mask_target,pca50_random_forest,unweighted,3.110679890999563,0.5382103593138474,True,0.5563634297759222,True,0.5917223438559917,0.4479116653004253,0.30430326568008637,0.746784420289855,0.8966184007131939,1.289855072463768,0.7667528653066438,0.7023764078792852,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_mask_target__pca50_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_mask_target|pca100_random_forest|unweighted,internal_cv_target_index_valid,2,delta_mask_target,pca100_random_forest,unweighted,4.669139702000393,0.5308980119979626,True,0.5484332873246478,True,0.5954849507783455,0.4503621084474444,0.295427630689976,0.7448822463768117,0.9000989247014506,1.289855072463768,0.7683172109951155,0.7067652768798476,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_mask_target__pca100_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|3|delta_all|pca50_ridge|unweighted,internal_cv_target_index_valid,3,delta_all,pca50_ridge,unweighted,2.6070824969992827,0.4438180789172284,True,0.4046126522666187,True,0.620896289941599,0.477571425142921,0.15570278307900842,0.7312435765673175,0.9016481868515742,1.20603517186251,0.7222648261758691,0.6818699075331474,1.6939331970006817,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_3/delta_all__pca50_ridge__unweighted.joblib,1423,355
internal_cv_target_index_valid|3|delta_all|random_forest|unweighted,internal_cv_target_index_valid,3,delta_all,random_forest,unweighted,114.85911179600043,0.40833590382516016,True,0.3841778038083029,True,0.6259269808847429,0.4868499706199582,0.14196585055265742,0.7031673362608614,0.8950563325400834,1.276978417266187,0.706224437627812,0.6792068270105094,1.9359236537150646,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_3/delta_all__random_forest__unweighted.joblib,1423,355
internal_cv_target_index_valid|3|delta_all|pca20_random_forest|unweighted,internal_cv_target_index_valid,3,delta_all,pca20_random_forest,unweighted,2.1484854450000057,0.4486348676710808,True,0.4291053118452198,True,0.61696416056527,0.4775317036774526,0.16636277104223351,0.7313837241894796,0.9028986330532394,1.276978417266187,0.7224245910020448,0.6832922643665926,1.8149284253578732,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_3/delta_all__pca20_random_forest__unweighted.joblib,1423,355
internal_cv_target_index_valid|3|delta_all|pca50_random_forest|unweighted,internal_cv_target_index_valid,3,delta_all,pca50_random_forest,unweighted,2.878393130999939,0.4477950544631338,True,0.4231841021004654,True,0.6179793992810204,0.47432835094521314,0.16361694823000117,0.7260581145473232,0.9002374957919057,1.276978417266187,0.7213381901840491,0.6849981879710725,1.9359236537150646,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_3/delta_all__pca50_random_forest__unweighted.joblib,1423,355
internal_cv_target_index_valid|3|delta_all|pca100_random_forest|unweighted,internal_cv_target_index_valid,3,delta_all,pca100_random_forest,unweighted,4.704838663999908,0.43642149986186407,True,0.4082426031101125,True,0.6225634253108122,0.47520651886689685,0.15116274167675803,0.7214799588900308,0.894645924418595,1.20603517186251,0.7208269427402862,0.68813371622885,1.8149284253578732,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_3/delta_all__pca100_random_forest__unweighted.joblib,1423,355
