evaluation_scope,feature_set,model,weighting,n_folds,fit_seconds_mean,fit_seconds_std,spearman_mean,spearman_std,spearman_defined_mean,spearman_defined_std,pearson_mean,pearson_std,pearson_defined_mean,pearson_defined_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,auroc_lt_neg0p5_mean,auroc_lt_neg0p5_std,auprc_lt_neg0p5_mean,auprc_lt_neg0p5_std,top5pct_enrichment_lt_neg0p5_mean,top5pct_enrichment_lt_neg0p5_std,auroc_lt_neg1p0_mean,auroc_lt_neg1p0_std,auprc_lt_neg1p0_mean,auprc_lt_neg1p0_std,top5pct_enrichment_lt_neg1p0_mean,top5pct_enrichment_lt_neg1p0_std
internal_cv_target_index_valid,delta_all,pca50_random_forest,unweighted,5,3.172773854600018,0.256965501869546,0.46721262117384876,0.06485805557909997,1.0,0.0,0.46949081752195704,0.062413756061810086,1.0,0.0,0.6207466441233505,0.024816285503106664,0.47458046470572784,0.019833110545867384,0.21763311086223927,0.06269005388464946,0.7450276818394871,0.028364425585664817,0.9015987245203035,0.011783127048965229,1.2614670151979328,0.031779620162193475,0.7237159816302917,0.03542715180221694,0.6788841954668766,0.027517643119150264,1.8730539436042661,0.11284887960892234
internal_cv_target_index_valid,delta_mask_target,pca50_random_forest,unweighted,5,3.233905051400052,0.08412108206552674,0.4662332830595096,0.064656771134819,1.0,0.0,0.46806233611546927,0.06491807595080892,1.0,0.0,0.6212194751285247,0.025408090984244028,0.47517616908651206,0.02200949470838427,0.21631988922049192,0.06526456299202268,0.7427139050182078,0.0272764548914767,0.9014241095348371,0.01113859833150321,1.2758104495413671,0.022862406733844796,0.7245085923686394,0.034124684323515064,0.6788815395006409,0.02863721057035859,1.9242804948308172,0.178872554538376
internal_cv_target_index_valid,delta_mask_target,pca100_random_forest,unweighted,5,4.511257912200108,0.22558046781551055,0.4643418966530878,0.06327666971299158,1.0,0.0,0.4662689844299031,0.06533280860792522,1.0,0.0,0.6218663389566155,0.027023315610008498,0.47315130994768095,0.022011814435809244,0.21486350145692387,0.06474125506939442,0.739889090775705,0.027645153445192965,0.9003008580361922,0.015445519767970367,1.2758104495413671,0.022862406733844796,0.7276602211177713,0.033224267785939454,0.6847696271338755,0.02454381496165173,1.8745479780251297,0.1655409754594791
internal_cv_target_index_valid,delta_mask_target,pca20_random_forest,unweighted,5,2.310307540800204,0.07747437607970128,0.46386894524078165,0.06358738215095455,1.0,0.0,0.4665899435798163,0.06469413384860298,1.0,0.0,0.6219516492217522,0.026761340427200773,0.4771296352324562,0.02346873101582387,0.21452148601383403,0.06616992115290778,0.7431010476431976,0.030284366512270445,0.9028866077747393,0.014979190555867886,1.290352933201498,0.011695783239680903,0.7261954207812643,0.037243975727716754,0.6792704104082578,0.033129458157960714,1.8500511639439086,0.18118742244663164
internal_cv_target_index_valid,delta_all,pca20_random_forest,unweighted,5,2.2614047494000262,0.17337111382033274,0.46363479723378187,0.06358591864174327,1.0,0.0,0.46690853937207893,0.06703848699175827,1.0,0.0,0.6218391077386854,0.02697883586615643,0.47664067443522634,0.02367771610058096,0.2146964035301754,0.0680777232022711,0.7417650133529013,0.027725891222969035,0.9024443070692655,0.014105630884870978,1.290352933201498,0.011695783239680903,0.7256674339275819,0.03897357393171979,0.679218515947813,0.03671805398996463,1.8500511639439086,0.18118742244663164
internal_cv_target_index_valid,delta_all,pca100_random_forest,unweighted,5,4.483075501800068,0.26754250103648364,0.46317663562564404,0.0629983081078465,1.0,0.0,0.465177257433908,0.06472189419727489,1.0,0.0,0.6225634079767718,0.02695408666549697,0.4746058202157319,0.021702366167337468,0.21319168174509429,0.06342243883973551,0.7401324757370962,0.027667664872756778,0.899860717432307,0.013778353525761313,1.2329466430898222,0.03110974103584872,0.727069619676677,0.031237641529646597,0.6820334013313893,0.023743485817976993,1.7998579488438402,0.09988593441284856
internal_cv_target_index_valid,delta_all,pca50_ridge,unweighted,5,2.7124072391998197,0.09724557116562879,0.45903029635575,0.054489587506507974,1.0,0.0,0.44797376746389916,0.06511101502410276,1.0,0.0,0.6288894827196928,0.021674487989873644,0.4818633022828349,0.016636704987798446,0.19699181278110495,0.060258505250796686,0.7470283878528211,0.019324962311413847,0.9031480418573457,0.014740065853605594,1.2184041594296915,0.043705687056857,0.7209729620979958,0.03063951220702226,0.6736311863199902,0.03386052010820334,1.8502691278746652,0.1621386942965596
internal_cv_target_index_valid,delta_mask_target,pca50_ridge,unweighted,5,2.6480455070001883,0.22982396564686178,0.458936874633712,0.05503983041239603,1.0,0.0,0.4478699565851706,0.06551875284211876,1.0,0.0,0.6289164349869096,0.021714151308893148,0.48188172907187843,0.016714342630748367,0.196905861844974,0.060591660836457485,0.7471059598425724,0.019395976391226574,0.9033021482831085,0.01486424255526783,1.2184041594296915,0.043705687056857,0.7208569043800845,0.030825970727983973,0.6735539901538203,0.03450899245202307,1.8502691278746652,0.1621386942965596
internal_cv_target_index_valid,delta_all,random_forest,unweighted,5,114.62985008720007,2.811032394715804,0.4451150507061773,0.05760636086446741,1.0,0.0,0.44572835745579037,0.06339594856482011,1.0,0.0,0.6291080834942622,0.019549669833196878,0.4854467878082963,0.021304877908269623,0.19649869648519636,0.05699638510302591,0.7316385545652485,0.032651686400915446,0.8988354051680038,0.01820474169523543,1.261478726513992,0.032349218722579724,0.7188447747089409,0.033269654428360884,0.6767121411275544,0.03427588636575121,1.9227864604099536,0.1287766474193157
internal_cv_target_index_valid,delta_mask_target,random_forest,unweighted,5,114.12745923020002,2.167476914565037,0.4416361806899515,0.05750098253191911,1.0,0.0,0.442652182940802,0.06228832133600105,1.0,0.0,0.6302018551515938,0.020185141512306225,0.4861996579754315,0.02124531335568175,0.19378886663309108,0.05622760880750322,0.7295383653654801,0.03129087996493738,0.8975209711910658,0.01844880327407778,1.261478726513992,0.032349218722579724,0.7165327586613255,0.03252541542871513,0.6739399860252631,0.032508862040380664,1.9227864604099536,0.1287766474193157
