evaluation_scope,feature_set,model,weighting,top_k,n_rows,mean_y_true,min_y_true,mean_predicted_dependency_score
internal_cv_all,delta_mask_target,pca20_random_forest,unweighted,50,250,-1.6308885042369365,-4.015231132507324,1.6636856312284036
internal_cv_all,delta_mask_target,pca20_random_forest,unweighted,100,500,-1.4314244090244175,-4.015231132507324,1.4861798415224114
internal_cv_all,delta_mask_target,pca50_random_forest,unweighted,20,100,-1.871313436627388,-4.015231132507324,1.8955388824564146
internal_cv_all,delta_mask_target,pca50_random_forest,unweighted,50,250,-1.6172649998068809,-4.015231132507324,1.6431328983263098
internal_cv_all,delta_mask_target,pca50_random_forest,unweighted,100,500,-1.430947152197361,-4.015231132507324,1.464038678815836
internal_cv_all,delta_mask_target,pca50_ridge,unweighted,20,100,-1.8201206696033478,-4.015231132507324,1.9462289237976074
internal_cv_all,delta_mask_target,pca50_ridge,unweighted,50,250,-1.6459894979298115,-4.015231132507324,1.6983801550865174
internal_cv_all,delta_mask_target,pca50_ridge,unweighted,100,500,-1.45821129052341,-4.015231132507324,1.4893840913772582
internal_cv_all,delta_mask_target,random_forest,unweighted,20,100,-1.8892679938673973,-4.015231132507324,1.8596071067398647
internal_cv_all,delta_mask_target,random_forest,unweighted,50,250,-1.6512429251372813,-4.015231132507324,1.637316693952744
internal_cv_all,delta_mask_target,random_forest,unweighted,100,500,-1.4432425007754937,-4.015231132507324,1.471357281410904
internal_cv_target_index_valid,delta_all,pca100_random_forest,unweighted,20,100,-1.8066978549957275,-4.015231132507324,1.8537716705922116
internal_cv_target_index_valid,delta_all,pca100_random_forest,unweighted,50,250,-1.6383111387789249,-4.015231132507324,1.6342266514422021
internal_cv_target_index_valid,delta_all,pca100_random_forest,unweighted,100,500,-1.466183557727374,-4.015231132507324,1.4607719003032498
internal_cv_target_index_valid,delta_all,pca20_random_forest,unweighted,20,100,-1.8966623210906983,-4.015231132507324,1.9160505741741158
internal_cv_target_index_valid,delta_all,pca20_random_forest,unweighted,50,250,-1.6319872835576534,-4.015231132507324,1.6857830973440167
internal_cv_target_index_valid,delta_all,pca20_random_forest,unweighted,100,500,-1.4579765719706193,-4.015231132507324,1.498315578459313
internal_cv_target_index_valid,delta_all,pca50_random_forest,unweighted,20,100,-1.8670161488652228,-4.015231132507324,1.8995231782986333
internal_cv_target_index_valid,delta_all,pca50_random_forest,unweighted,50,250,-1.6362981531322003,-4.015231132507324,1.663373183602672
internal_cv_target_index_valid,delta_all,pca50_random_forest,unweighted,100,500,-1.4495495246127248,-4.015231132507324,1.480715819403016
internal_cv_target_index_valid,delta_all,pca50_ridge,unweighted,20,100,-1.8517319503426553,-4.015231132507324,1.9244753956794738
internal_cv_target_index_valid,delta_all,pca50_ridge,unweighted,50,250,-1.630302059441805,-4.015231132507324,1.6921788682937622
internal_cv_target_index_valid,delta_all,pca50_ridge,unweighted,100,500,-1.4687710688486695,-4.015231132507324,1.4909602224826812
internal_cv_target_index_valid,delta_all,random_forest,unweighted,20,100,-1.86337295204401,-4.015231132507324,1.8337171210736554
internal_cv_target_index_valid,delta_all,random_forest,unweighted,50,250,-1.6477562508285046,-4.015231132507324,1.631879428931601
internal_cv_target_index_valid,delta_all,random_forest,unweighted,100,500,-1.4363534370139242,-4.015231132507324,1.4729031528954584
internal_cv_target_index_valid,delta_mask_target,pca100_random_forest,unweighted,20,100,-1.838501844778657,-4.015231132507324,1.8642533475537517
internal_cv_target_index_valid,delta_mask_target,pca100_random_forest,unweighted,50,250,-1.6416451503932477,-4.015231132507324,1.6411869472479015
internal_cv_target_index_valid,delta_mask_target,pca100_random_forest,unweighted,100,500,-1.4753217267254368,-4.015231132507324,1.4654164826493152
internal_cv_target_index_valid,delta_mask_target,pca20_random_forest,unweighted,20,100,-1.8617518170177936,-4.015231132507324,1.916149127241456
internal_cv_target_index_valid,delta_mask_target,pca20_random_forest,unweighted,50,250,-1.6356253404915333,-4.015231132507324,1.6881488326958847
internal_cv_target_index_valid,delta_mask_target,pca20_random_forest,unweighted,100,500,-1.4614438833529129,-4.015231132507324,1.502750962207234
internal_cv_target_index_valid,delta_mask_target,pca50_random_forest,unweighted,20,100,-1.878411818742752,-4.015231132507324,1.8883760901139055
internal_cv_target_index_valid,delta_mask_target,pca50_random_forest,unweighted,50,250,-1.6405939083993435,-4.015231132507324,1.6622673353267334
internal_cv_target_index_valid,delta_mask_target,pca50_random_forest,unweighted,100,500,-1.4619464830458164,-4.015231132507324,1.4820695583374428
