evaluation_scope,feature_set,model,weighting,n_folds,spearman_mean,spearman_std,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,auroc_lt_neg0p5_mean,auroc_lt_neg0p5_std,auprc_lt_neg0p5_mean,auprc_lt_neg0p5_std,top5pct_enrichment_lt_neg0p5_mean,top5pct_enrichment_lt_neg0p5_std,auroc_lt_neg1p0_mean,auroc_lt_neg1p0_std,auprc_lt_neg1p0_mean,auprc_lt_neg1p0_std,top5pct_enrichment_lt_neg1p0_mean,top5pct_enrichment_lt_neg1p0_std
internal_cv_all,target_knockdown_only,ridge,sqrt_n_cells,5,0.24151098109261007,0.061771145408625265,0.28410266974839093,0.01892636466204375,0.673874698704109,0.02369437420397761,0.5256803357412726,0.008722120023421194,0.08001795767883586,0.01136062058009713,0.6128375947117074,0.029443964031791673,0.826350211049902,0.02843402441223552,1.2121973382634166,0.12154046436817562,0.6215192337142245,0.031253569864510354,0.5827095647426833,0.021931739846914464,1.9115577740770462,0.22671446062704587
internal_cv_all,target_knockdown_only,elastic_net,unweighted,5,0.24151098109261007,0.061771145408625265,0.2841026674561422,0.018926366700790166,0.6737740201053595,0.023888818549052213,0.5246132566161497,0.00866258940614343,0.08031160379840858,0.010902117843798777,0.6128375947117074,0.029443964031791673,0.826350211049902,0.02843402441223552,1.2121973382634166,0.12154046436817562,0.6215192337142245,0.031253569864510354,0.5827095647426833,0.021931739846914464,1.9115577740770462,0.22671446062704587
internal_cv_all,n_cells_only,random_forest,sqrt_n_cells,5,0.0385573359247849,0.04256039421319668,0.02507996896201959,0.04986803787515538,0.7387420508719124,0.03504550410111996,0.5734776656547916,0.015658788655286374,-0.10533378953661003,0.04236612285868573,0.5236982434712575,0.027131020786661166,0.7590135167894253,0.025504679466933317,1.0242566838148217,0.10519575929559698,0.5169697939879191,0.0182447149681828,0.4371024740976712,0.029051996908852396,0.803100125708083,0.42361986835844434
internal_cv_all,n_cells_only,random_forest,unweighted,5,0.03820973952344797,0.04187103086758217,0.024258257502879518,0.048988592167041545,0.7387151692151199,0.034983482637313726,0.5735246924007106,0.015569824039937187,-0.10523825554329176,0.041625610156838924,0.5234827932441622,0.02648640523133713,0.7589144820335363,0.02475374284182432,1.0242566838148217,0.10519575929559698,0.5166293227354525,0.018053160274462944,0.43644882309743727,0.028373792350324376,0.8265970582234203,0.39464201160705104
internal_cv_all,n_cells_only,elastic_net,unweighted,5,0.00025436966469698436,0.05295543423704409,0.09197779331667784,0.06498134644926748,0.7000685340281709,0.02767790993468283,0.5458841078016545,0.00977519341511063,0.00736678854383237,0.011486527227548343,0.4804248608821773,0.03189515740967881,0.7585211407565209,0.028525760664645797,1.158694063184821,0.10096455471222399,0.4975799232260966,0.024591173731739528,0.4693195815528486,0.030699864176520843,1.4164405292168227,0.23272363266147372
internal_cv_all,n_cells_only,ridge,sqrt_n_cells,5,0.00025436966469698436,0.05295543423704409,0.09197777909241128,0.06498132374566284,0.7005008603420373,0.028927764394079243,0.5440414189978607,0.01039264531266339,0.006202786629157808,0.01595290264334155,0.4804248608821773,0.03189515740967881,0.7585211407565209,0.028525760664645797,1.158694063184821,0.10096455471222399,0.4975799232260966,0.024591173731739528,0.4693195815528486,0.030699864176520843,1.4164405292168227,0.23272363266147372
internal_cv_all,n_cells_only,elastic_net,sqrt_n_cells,5,0.00025436966469698436,0.05295543423704409,0.09197777903477718,0.06498132194007247,0.7004732049640079,0.028897193822994927,0.5440547198053866,0.010377445882383294,0.0062799989201473005,0.015834743206986975,0.4804248608821773,0.03189515740967881,0.7585211407565209,0.028525760664645797,1.158694063184821,0.10096455471222399,0.4975799232260966,0.024591173731739528,0.4693195815528486,0.030699864176520843,1.4164405292168227,0.23272363266147372
internal_cv_all,n_cells_only,ridge,unweighted,5,0.00025436966469698436,0.05295543423704409,0.09197777387320467,0.06498131674736317,0.7000664894958735,0.027726926916864663,0.5458892780018042,0.009800534192356046,0.00737497071923352,0.01169863476360171,0.4804248608821773,0.03189515740967881,0.7585211407565209,0.028525760664645797,1.158694063184821,0.10096455471222399,0.4975799232260966,0.024591173731739528,0.4693195815528486,0.030699864176520843,1.4164405292168227,0.23272363266147372
internal_cv_all,delta_all,mean_label,unweighted,5,,,,,0.702661595749509,0.025074295202400582,0.5479701190985474,0.008453894670673819,-0.00017292848028787055,0.00025813747404658006,0.5,0.0,0.7423030896431679,0.010741105018115609,0.9703140549865278,0.10642314496611405,0.5,0.0,0.42409432114882506,0.007066095894262373,0.8985699256550387,0.2599889046980452
internal_cv_all,delta_mask_target,mean_label,unweighted,5,,,,,0.702661595749509,0.025074295202400582,0.5479701190985474,0.008453894670673819,-0.00017292848028787055,0.00025813747404658006,0.5,0.0,0.7423030896431679,0.010741105018115609,0.9703140549865278,0.10642314496611405,0.5,0.0,0.42409432114882506,0.007066095894262373,0.8985699256550387,0.2599889046980452
internal_cv_all,n_cells_only,mean_label,unweighted,5,,,,,0.702661595749509,0.025074295202400582,0.5479701190985474,0.008453894670673819,-0.00017292848028787055,0.00025813747404658006,0.5,0.0,0.7423030896431679,0.010741105018115609,0.9703140549865278,0.10642314496611405,0.5,0.0,0.42409432114882506,0.007066095894262373,0.8985699256550387,0.2599889046980452
internal_cv_all,response_burden,mean_label,unweighted,5,,,,,0.702661595749509,0.025074295202400582,0.5479701190985474,0.008453894670673819,-0.00017292848028787055,0.00025813747404658006,0.5,0.0,0.7423030896431679,0.010741105018115609,0.9703140549865278,0.10642314496611405,0.5,0.0,0.42409432114882506,0.007066095894262373,0.8985699256550387,0.2599889046980452
internal_cv_all,target_knockdown_only,mean_label,unweighted,5,,,,,0.702661595749509,0.025074295202400582,0.5479701190985474,0.008453894670673819,-0.00017292848028787055,0.00025813747404658006,0.5,0.0,0.7423030896431679,0.010741105018115609,0.9703140549865278,0.10642314496611405,0.5,0.0,0.42409432114882506,0.007066095894262373,0.8985699256550387,0.2599889046980452
internal_cv_target_index_valid,delta_all,pca50_ridge,unweighted,5,0.45903029635575,0.054489587506507974,0.44797376746389916,0.06511101502410276,0.6288894827196928,0.021674487989873644,0.4818633022828349,0.016636704987798446,0.19699181278110495,0.060258505250796686,0.7470283878528211,0.019324962311413847,0.9031480418573457,0.014740065853605594,1.2184041594296915,0.043705687056857,0.7209729620979958,0.03063951220702226,0.6736311863199902,0.03386052010820334,1.8502691278746652,0.1621386942965596
internal_cv_target_index_valid,delta_mask_target,pca50_ridge,unweighted,5,0.458936874633712,0.05503983041239603,0.4478699565851706,0.06551875284211876,0.6289164349869096,0.021714151308893148,0.48188172907187843,0.016714342630748367,0.196905861844974,0.060591660836457485,0.7471059598425724,0.019395976391226574,0.9033021482831085,0.01486424255526783,1.2184041594296915,0.043705687056857,0.7208569043800845,0.030825970727983973,0.6735539901538203,0.03450899245202307,1.8502691278746652,0.1621386942965596
internal_cv_target_index_valid,delta_mask_target,pca100_ridge,unweighted,5,0.45822195205354477,0.06129840141708639,0.4503149740198989,0.06998604445503288,0.628432927574189,0.025617752025520888,0.4815163653422917,0.01925693334882921,0.1980812114257354,0.06552003970429932,0.7452533286626851,0.020898535964809985,0.9030015116644371,0.015373299770858672,1.2185589446923903,0.07015146000726374,0.7225555432944665,0.03240730884578485,0.6784933019127941,0.03391887985534634,1.851465393885746,0.23548829297506868
internal_cv_target_index_valid,delta_all,pca100_ridge,unweighted,5,0.4581882647673375,0.060605800462886605,0.449947834005501,0.06942965632051039,0.6285910281127943,0.025448747244206864,0.4817003563817456,0.01907369787798187,0.19769703643512054,0.06504504705977657,0.745199582799844,0.021061342444697134,0.9030734388775652,0.015318230801499133,1.2327475937731258,0.05447114443449634,0.7224713227209857,0.03190704686461301,0.6789921946309165,0.03337411125959141,1.8756644395571844,0.22102575215909653
