method,model_id,role,n,total_mse,shared_bias,condition_specific,shared_bias_fraction,state,export
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-unfreeze,external
no_change,ACH-000995,external,2377,4.5331187688580705,0.9705318126838394,3.5625869561742314,0.21409803320205623,B-unfreeze,external
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-unfreeze,external
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-unfreeze,external
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-unfreeze,external
global_mean,ACH-000995,external,2377,4.233731916572968,0.6711449603987368,3.5625869561742314,0.15852325409918752,B-unfreeze,external
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-unfreeze,external
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-unfreeze,external
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-unfreeze,external
perturbation_mean,ACH-000995,external,2373,4.733406117520742,0.4320093479588457,4.301396769561896,0.09126817712931065,B-unfreeze,external
model,ACH-000551,train,8823,1.1314743336794735,0.09798971769397323,1.0334846159855002,0.08660357091381621,B-unfreeze,internal
model,ACH-000551,val,983,1.0640265040932324,0.10016239119425617,0.9638641128989764,0.09413524081302369,B-unfreeze,internal
model,ACH-000739,train,2139,8.862285406583226,0.6858109196857517,8.176474486897476,0.07738533439425305,B-unfreeze,internal
model,ACH-000739,val,238,11.246125051243746,0.9989320273956888,10.247193023848059,0.08882455270984325,B-unfreeze,internal
model,ACH-000971,train,16399,2.5965679842368274,1.0659221533150944,1.5306458309217332,0.41051193721330037,B-unfreeze,internal
model,ACH-000971,val,1826,2.3788301598983472,1.0684845604434021,1.310345599454945,0.4491638698952181,B-unfreeze,internal
no_change,ACH-000551,train,8823,1.3649843750672113,0.060668607903343656,1.3043157671638674,0.044446375366279454,B-unfreeze,internal
no_change,ACH-000551,val,983,1.1182212759910315,0.055410945921945474,1.0628103300690857,0.04955275589157176,B-unfreeze,internal
no_change,ACH-000739,train,2139,11.450284545844015,0.5810675716163761,10.869216974227639,0.0507469984077627,B-unfreeze,internal
no_change,ACH-000739,val,238,11.834330804928847,0.9309779798933024,10.903352825035544,0.07866756432949822,B-unfreeze,internal
no_change,ACH-000971,train,16399,1.9327679733727614,0.3806127417709004,1.552155231601861,0.19692624619949342,B-unfreeze,internal
no_change,ACH-000971,val,1826,1.680235449736088,0.36330209697478644,1.3169333527613014,0.21622094512519047,B-unfreeze,internal
global_mean,ACH-000551,train,8823,1.464669721438361,0.16035395427449367,1.3043157671638674,0.10948130621354009,B-unfreeze,internal
global_mean,ACH-000551,val,983,1.2211548787542021,0.15834454868511638,1.0628103300690857,0.12966786722963128,B-unfreeze,internal
global_mean,ACH-000739,train,2139,11.110831582948792,0.24161460872115303,10.869216974227639,0.02174586185717604,B-unfreeze,internal
global_mean,ACH-000739,val,238,11.49412838193266,0.5907755568971191,10.903352825035544,0.05139803013038769,B-unfreeze,internal
global_mean,ACH-000971,train,16399,1.771026717128244,0.2188714855263832,1.552155231601861,0.12358451931277907,B-unfreeze,internal
global_mean,ACH-000971,val,1826,1.5272129609879554,0.21027960822665454,1.3169333527613014,0.13768846493459855,B-unfreeze,internal
perturbation_mean,ACH-000551,train,8823,0.9713852956993555,0.10276042486299514,0.8686248708363604,0.10578750297945581,B-unfreeze,internal
perturbation_mean,ACH-000551,val,874,3.8260551281795934,0.45691516446839997,3.369139963711193,0.11942200233946879,B-unfreeze,internal
perturbation_mean,ACH-000739,train,2139,4.084371187674019,0.21978211796496938,3.8645890697090493,0.053810515221593164,B-unfreeze,internal
perturbation_mean,ACH-000739,val,234,14.62125269430418,1.0500339057253356,13.571218788578841,0.07181559115891514,B-unfreeze,internal
perturbation_mean,ACH-000971,train,16399,0.5680372419600728,0.0345460929071092,0.5334911490529636,0.060816598552419276,B-unfreeze,internal
perturbation_mean,ACH-000971,val,864,3.1155989241979247,0.5152714428928776,2.6003274813050474,0.16538439492032125,B-unfreeze,internal
