depmap_column,gene_symbol,entrez_id,training_std,training_dependency_prevalence,training_line_count
COX7C (1350),COX7C,1350,0.28663213282908706,0.7878787878787878,33
CRAMP1 (57585),CRAMP1,57585,0.29102940465139915,0.15151515151515152,33
CREBBP (1387),CREBBP,1387,0.4827027211078061,0.12121212121212122,33
CRIPTO (6997),CRIPTO,6997,0.35526515182545737,0.6060606060606061,33
CRLS1 (54675),CRLS1,54675,0.3223313073590096,0.696969696969697,33
CSK (1445),CSK,1445,0.297276157361212,0.09090909090909091,33
CSNK1A1 (1452),CSNK1A1,1452,0.48857181879311157,0.7272727272727273,33
CTC1 (80169),CTC1,80169,0.36199913953784396,0.24242424242424243,33
CTDSPL2 (51496),CTDSPL2,51496,0.3058278235713926,0.09090909090909091,33
CTNNA1 (1495),CTNNA1,1495,0.2866262536528057,0.09090909090909091,33
CTNNB1 (1499),CTNNB1,1499,0.5257567868294359,0.30303030303030304,33
CTPS1 (1503),CTPS1,1503,0.5753021966191284,0.6060606060606061,33
CUL2 (8453),CUL2,8453,0.3639603663691655,0.5454545454545454,33
CUL3 (8452),CUL3,8452,0.28763588523494243,0.7272727272727273,33
CYB5B (80777),CYB5B,80777,0.3289631803515897,0.21212121212121213,33
CYC1 (1537),CYC1,1537,0.3123034000369374,0.6060606060606061,33
DAP3 (7818),DAP3,7818,0.3214996479392313,0.696969696969697,33
DARS2 (55157),DARS2,55157,0.3249195165066932,0.24242424242424243,33
DAXX (1616),DAXX,1616,0.30216836451389095,0.3333333333333333,33
DDX19A (55308),DDX19A,55308,0.4187571885712311,0.18181818181818182,33
DDX39B (7919),DDX39B,7919,0.43036440601183884,0.6060606060606061,33
DDX3X (1654),DDX3X,1654,0.6405970936038956,0.696969696969697,33
DDX5 (1655),DDX5,1655,0.370149647449706,0.7272727272727273,33
DET1 (55070),DET1,55070,0.31106400045377725,0.2727272727272727,33
DHODH (1723),DHODH,1723,0.49401070656888524,0.3939393939393939,33
DHX29 (54505),DHX29,54505,0.30127783631804067,0.15151515151515152,33
DICER1 (23405),DICER1,23405,0.294667061745717,0.3333333333333333,33
DLST (1743),DLST,1743,0.2968942776879361,0.36363636363636365,33
DNAJB13 (374407),DNAJB13,374407,0.2844864355964949,0.06060606060606061,33
DNAJC11 (55735),DNAJC11,55735,0.5912750779680289,0.7272727272727273,33
DNAJC13 (23317),DNAJC13,23317,0.36774325088291465,0.18181818181818182,33
DNAJC19 (131118),DNAJC19,131118,0.3388136914529679,0.24242424242424243,33
DNM1L (10059),DNM1L,10059,0.4831716392660723,0.7878787878787878,33
DOCK5 (80005),DOCK5,80005,0.31954818077189895,0.15151515151515152,33
DOLPP1 (57171),DOLPP1,57171,0.298193678478168,0.2727272727272727,33
DSCC1 (79075),DSCC1,79075,0.2947276177042491,0.2727272727272727,33
DSN1 (79980),DSN1,79980,0.3609571977031914,0.696969696969697,33
DUSP4 (1846),DUSP4,1846,0.3445036805082651,0.15151515151515152,33
DYNLL1 (8655),DYNLL1,8655,0.3533576738795153,0.5151515151515151,33
EAF1 (85403),EAF1,85403,0.37052741449386206,0.3333333333333333,33
EAPP (55837),EAPP,55837,0.40803278284463335,0.6666666666666666,33
EARS2 (124454),EARS2,124454,0.37085023523413885,0.48484848484848486,33
EED (8726),EED,8726,0.34705082100494455,0.24242424242424243,33
EEFSEC (60678),EEFSEC,60678,0.3355228092842107,0.3939393939393939,33
EFR3A (23167),EFR3A,23167,0.5436205640665253,0.2727272727272727,33
EGLN1 (54583),EGLN1,54583,0.3975715918742858,0.06060606060606061,33
